TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
Toronto Raptors;43;Pascal Siakam;PF;24;6-9;230;New Mexico State;1,312,611
Toronto Raptors;17;Jonas Valanciunas;C;25;7-0;255;;15,460,675
Toronto Raptors;23;Fred VanVleet;PG;24;6-0;195;Wichita State;1,312,611
Toronto Raptors;55;Delon Wright;PG;25;6-5;190;Utah;1,645,200
Golden State Warriors;2;Jordan Bell;C;23;6-9;224;Oregon;815,615
Golden State Warriors;4;Quinn Cook;PG;25;6-2;179;Duke;14,832
Golden State Warriors;30;Stephen Curry;PG;30;6-3;190;Davidson;34,382,550
Golden State Warriors;35;Kevin Durant;SF;29;6-9;240;Texas;25,000,000
Golden State Warriors;23;Draymond Green;PF;28;6-7;230;Michigan State;16,400,000
Golden State Warriors;9;Andre Iguodala;SF;34;6-6;215;Arizona;14,814,815
Golden State Warriors;15;Damian Jones;C;22;7-0;245;Vanderbilt;1,312,611
Golden State Warriors;34;Shaun Livingston;PG;32;6-7;192;;7,692,308
Golden State Warriors;5;Kevon Looney;SF;22;6-9;220;UCLA;1,471,382
Golden State Warriors;0;Patrick McCaw;SG;22;6-7;185;UNLV;1,312,611
Golden State Warriors;1;JaVale McGee;C;30;7-0;270;Nevada;1,471,382
Golden State Warriors;27;Zaza Pachulia;C;34;6-11;270;;3,477,600
Golden State Warriors;11;Klay Thompson;SG;28;6-7;215;Washington State;17,826,150
Golden State Warriors;3;David West;PF;37;6-9;250;Xavier;1,471,382
Golden State Warriors;6;Nick Young;SG;32;6-7;210;USC;5,192,000
LA Clippers;21;Patrick Beverley;PG;29;6-1;185;Arkansas;5,513,514
LA Clippers;11;Avery Bradley;SG;27;6-2;180;Texas;8,808,989
LA Clippers;7;Sam Dekker;SF;23;6-9;230;Wisconsin;1,794,600
LA Clippers;1;Jawun Evans;PG;21;6-0;190;Oklahoma State;815,615
LA Clippers;8;Danilo Gallinari;SF;29;6-10;225;;20,559,599
LA Clippers;5;Montrezl Harrell;PF;24;6-8;240;Louisville;1,471,382
LA Clippers;34;Tobias Harris;SF;25;6-9;235;Tennessee;16,000,000
LA Clippers;33;Wesley Johnson;SF;30;6-7;215;Syracuse;5,882,260
LA Clippers;6;DeAndre Jordan;C;29;6-11;265;"Texas A&M;";22,642,350
LA Clippers;51;Boban Marjanovic;C;29;7-3;290;;7,000,000
LA Clippers;25;Austin Rivers;PG;25;6-4;200;Duke;11,825,000
LA Clippers;4;Milos Teodosic;PG;31;6-5;196;;6,000,000
LA Clippers;0;Sindarius Thornwell;SG;23;6-5;215;South Carolina;815,615
LA Clippers;12;Tyrone Wallace;SG;23;6-5;198;California;
LA Clippers;9;C.J. Williams;SF;28;6-5;230;North Carolina State;375,000
LA Clippers;23;Lou Williams;SG;31;6-1;175;;7,000,000
Los Angeles Lakers;2;Lonzo Ball;PG;20;6-6;190;UCLA;6,286,560
Los Angeles Lakers;31;Thomas Bryant;C;20;6-10;248;Indiana;815,615
Los Angeles Lakers;1;Kentavious Caldwell-Pope;SG;25;6-5;205;Georgia;17,745,894
Los Angeles Lakers;4;Alex Caruso;SG;24;6-5;186;"Texas A&M;";
Los Angeles Lakers;9;Luol Deng;SF;32;6-9;220;Duke;17,190,000
Los Angeles Lakers;10;Tyler Ennis;PG;23;6-3;194;Syracuse;1,524,305
Los Angeles Lakers;12;Channing Frye;PF;34;6-11;255;Arizona;7,420,912
Los Angeles Lakers;5;Josh Hart;SG;23;6-5;215;Villanova;1,394,520
Los Angeles Lakers;20;Andre Ingram;G;32;6-3;190;American University;13,824
Los Angeles Lakers;14;Brandon Ingram;SF;20;6-9;190;Duke;5,519,400
Los Angeles Lakers;0;Kyle Kuzma;PF;22;6-9;220;Utah;1,423,560
Los Angeles Lakers;11;Brook Lopez;C;30;7-0;268;Stanford;22,642,650
Los Angeles Lakers;23;Gary Payton II;PG;25;6-3;190;Oregon State;
Los Angeles Lakers;30;Julius Randle;PF;23;6-9;250;Kentucky;4,149,242
Los Angeles Lakers;3;Isaiah Thomas;PG;29;5-9;185;Washington;6,261,395
Los Angeles Lakers;21;Travis Wear;SF;27;6-10;225;UCLA;148,318
Los Angeles Lakers;40;Ivica Zubac;C;21;7-1;240;;1,312,611
