TEAM;NO;NAME;POS;AGE;HEIGHT;WEIGHT;COLLEGE;SALARY
Atlanta Hawks;0;Antonius Cleveland;SG;24;6-6;195;Southeast Missouri State;133,632
Atlanta Hawks;20;John Collins;PF;20;6-10;235;Wake Forest;1,936,920
Atlanta Hawks;14;Dewayne Dedmon;C;28;7-0;245;USC;6,000,000
Atlanta Hawks;5;Malcolm Delaney;PG;29;6-3;190;Virginia Tech;2,500,000
Atlanta Hawks;2;Tyler Dorsey;SG;22;6-5;183;Oregon;815,615
Atlanta Hawks;8;Damion Lee;SG;25;6-6;210;Louisville;46,080
Atlanta Hawks;11;Josh Magette;PG;28;6-1;160;Alabama-Huntsville;
Atlanta Hawks;3;Jaylen Morris;G;22;6-5;185;;101,376
Atlanta Hawks;31;Mike Muscala;PF;26;6-11;240;Bucknell;5,000,000
Atlanta Hawks;18;Miles Plumlee;C;29;6-11;249;Duke;12,500,000
Atlanta Hawks;12;Taurean Prince;SF;24;6-8;220;Baylor;2,422,560
Atlanta Hawks;17;Dennis Schroder;PG;24;6-1;172;;15,500,000
Atlanta Hawks;22;Isaiah Taylor;PG;23;6-3;170;Texas;1,312,611
Atlanta Hawks;4;Andrew White III;SF;24;6-7;210;Syracuse;
Charlotte Hornets;7;Dwayne Bacon;SF;22;6-7;221;Florida State;815,615
Charlotte Hornets;5;Nicolas Batum;SG;29;6-8;200;;22,434,783
Charlotte Hornets;10;Michael Carter-Williams;PG;26;6-6;190;Syracuse;2,700,000
Charlotte Hornets;21;Treveon Graham;SG;24;6-5;219;Virginia Commonwealth;1,312,611
Charlotte Hornets;41;Willy Hernangomez;C;23;6-11;240;;1,435,750
Charlotte Hornets;12;Dwight Howard;C;32;6-11;265;;23,500,000
Charlotte Hornets;44;Frank Kaminsky;PF;25;7-0;242;Wisconsin;2,847,600
Charlotte Hornets;14;Michael Kidd-Gilchrist;SF;24;6-7;232;Kentucky;13,000,000
Charlotte Hornets;3;Jeremy Lamb;SG;25;6-5;185;Connecticut;7,000,000
Charlotte Hornets;9;Mangok Mathiang;PF;25;6-10;230;Louisville;
Charlotte Hornets;1;Malik Monk;SG;20;6-3;200;Kentucky;2,904,480
Charlotte Hornets;4;Marcus Paige;PG;24;6-0;164;North Carolina;
Charlotte Hornets;32;Julyan Stone;PG;29;6-6;200;UTEP;1,524,305
Charlotte Hornets;15;Kemba Walker;PG;27;6-1;184;Connecticut;12,000,000
Charlotte Hornets;2;Marvin Williams;PF;31;6-9;237;North Carolina;13,168,750
Charlotte Hornets;40;Cody Zeller;C;25;7-0;240;Indiana;12,584,270
Miami Heat;13;Bam Adebayo;C;20;6-10;255;Kentucky;2,490,360
Miami Heat;22;Luke Babbitt;SF;28;6-9;225;Nevada;1,471,382
Miami Heat;7;Goran Dragic;PG;31;6-3;190;;17,000,450
Miami Heat;2;Wayne Ellington;SG;30;6-5;200;North Carolina;6,270,000
Miami Heat;40;Udonis Haslem;PF;37;6-8;235;Florida;1,471,382
Miami Heat;16;James Johnson;PF;31;6-8;240;Wake Forest;13,734,000
Miami Heat;8;Tyler Johnson;SG;25;6-4;190;Fresno State;5,881,260
Miami Heat;5;Derrick Jones Jr.;SG;21;6-7;200;UNLV;1,312,611
Miami Heat;17;Rodney McGruder;SG;26;6-4;200;Kansas State;1,312,611
Miami Heat;25;Jordan Mickey;C;23;6-8;235;LSU;1,471,382
Miami Heat;9;Kelly Olynyk;PF;26;7-0;245;Gonzaga;10,607,169
Miami Heat;0;Josh Richardson;SF;24;6-6;200;Tennessee;1,471,382
Miami Heat;3;Dwyane Wade;SG;36;6-4;220;Marquette;1,471,382
Miami Heat;11;Dion Waiters;SG;26;6-4;215;Syracuse;11,000,000
Miami Heat;14;Derrick Walton Jr.;PG;23;6-1;185;Michigan;
Miami Heat;21;Hassan Whiteside;C;28;7-0;265;Marshall;23,775,506
Miami Heat;20;Justise Winslow;SF;22;6-7;225;Duke;2,705,040
Orlando Magic;4;Arron Afflalo;SG;32;6-5;210;UCLA;1,471,382
Orlando Magic;0;Jamel Artis;SG;25;6-7;213;Pittsburgh;
Orlando Magic;14;D.J. Augustin;PG;30;6-0;183;Texas;7,250,000
Orlando Magic;24;Khem Birch;C;25;6-9;220;UNLV;815,615
Orlando Magic;11;Bismack Biyombo;C;25;6-9;255;;17,000,000
Orlando Magic;10;Evan Fournier;SG;25;6-7;205;;17,000,000
Orlando Magic;00;Aaron Gordon;PF;22;6-9;220;Arizona;5,504,420
Orlando Magic;8;Mario Hezonja;SF;23;6-8;218;;3,909,840
Orlando Magic;1;Jonathan Isaac;PF;20;6-10;210;Florida State;4,186,320
Orlando Magic;25;Wesley Iwundu;SF;23;6-7;195;Kansas State;1,050,000
Orlando Magic;7;Shelvin Mack;PG;27;6-3;203;Butler;6,000,000
Orlando Magic;15;Rodney Purvis;SG;24;6-4;205;Connecticut;69,120
Orlando Magic;31;Terrence Ross;SG;27;6-7;206;Washington;10,500,000
Orlando Magic;17;Jonathon Simmons;SF;28;6-6;195;Houston;6,300,000
Orlando Magic;5;Marreese Speights;PF;30;6-10;255;Florida;1,471,382
Orlando Magic;9;Nikola Vucevic;C;27;7-0;260;USC;12,250,000
Washington Wizards;3;Bradley Beal;SG;24;6-5;207;Florida;23,775,506
Washington Wizards;8;Tim Frazier;PG;27;6-1;170;Penn State;2,000,000
Washington Wizards;13;Marcin Gortat;C;34;6-11;240;;12,782,609
Washington Wizards;4;Ty Lawson;PG;30;5-11;195;North Carolina;8,313
Washington Wizards;28;Ian Mahinmi;C;31;6-11;262;;16,661,641
Washington Wizards;1;Chris McCullough;PF;23;6-9;215;Syracuse;1,471,382
Washington Wizards;20;Jodie Meeks;SG;30;6-4;210;Kentucky;3,290,000
Washington Wizards;5;Markieff Morris;PF;28;6-10;245;Kansas;8,000,000
Washington Wizards;12;Kelly Oubre Jr.;SF;22;6-7;205;Kansas;2,093,040
Washington Wizards;22;Otto Porter Jr.;SF;24;6-8;198;Georgetown;24,773,250
Washington Wizards;7;Devin Robinson;SF;23;6-8;200;Florida;
Washington Wizards;31;Tomas Satoransky;SG;26;6-7;210;;3,000,000
Washington Wizards;30;Mike Scott;PF;29;6-8;237;Virginia;1,471,382
Washington Wizards;9;Ramon Sessions;PG;32;6-3;190;Nevada;224,448
Washington Wizards;14;Jason Smith;PF;32;7-0;240;Colorado State;5,225,000
Washington Wizards;2;John Wall;PG;27;6-4;210;Kentucky;18,063,850
Denver Nuggets;00;Darrell Arthur;PF;30;6-9;235;Kansas;7,464,912
Denver Nuggets;5;Will Barton;SF;27;6-6;190;Memphis;3,533,333
Denver Nuggets;25;Malik Beasley;SG;21;6-5;196;Florida State;1,700,640
Denver Nuggets;21;Wilson Chandler;SF;30;6-9;225;DePaul;12,016,854
Denver Nuggets;3;Torrey Craig;SG;27;6-6;215;USC Upstate;
Denver Nuggets;35;Kenneth Faried;PF;28;6-8;228;Morehead State;12,921,348
Denver Nuggets;34;Devin Harris;PG;35;6-3;185;Wisconsin;4,402,546
Denver Nuggets;14;Gary Harris;SG;23;6-4;210;Michigan State;2,550,055
Denver Nuggets;41;Juan Hernangomez;PF;22;6-9;230;;2,076,840
Denver Nuggets;22;Richard Jefferson;SF;37;6-7;233;Arizona;1,454,756
Denver Nuggets;15;Nikola Jokic;C;23;6-10;250;;1,471,382
Denver Nuggets;20;Tyler Lydon;PF;22;6-9;220;Syracuse;1,579,440
Denver Nuggets;7;Trey Lyles;PF;22;6-10;234;Kentucky;2,441,400
Denver Nuggets;4;Paul Millsap;PF;33;6-8;246;Louisiana Tech;31,269,231
Denver Nuggets;11;Monte Morris;PG;22;6-3;175;Iowa State;
Denver Nuggets;27;Jamal Murray;PG;21;6-4;207;Kentucky;3,355,320
Denver Nuggets;24;Mason Plumlee;C;28;6-11;255;Duke;14,041,096
Minnesota Timberwolves;45;Cole Aldrich;C;29;6-11;253;Kansas;7,300,000
Minnesota Timberwolves;8;Nemanja Bjelica;PF;29;6-10;230;;3,949,999
Minnesota Timberwolves;30;Aaron Brooks;PG;33;6-0;161;Oregon;1,471,382
Minnesota Timberwolves;3;Anthony Brown;SF;25;6-7;224;Stanford;
Minnesota Timberwolves;23;Jimmy Butler;SG;28;6-8;236;Marquette;19,301,070
Minnesota Timberwolves;11;Jamal Crawford;SG;38;6-5;185;Michigan;4,328,000
Minnesota Timberwolves;5;Gorgui Dieng;C;28;6-11;251;Louisville;14,112,360
Minnesota Timberwolves;13;Marcus Georges-Hunt;SG;24;6-5;226;Georgia Tech;1,312,611
Minnesota Timberwolves;67;Taj Gibson;PF;32;6-9;235;USC;14,000,000
Minnesota Timberwolves;10;Amile Jefferson;PF;24;6-9;224;Duke;4,608
Minnesota Timberwolves;1;Tyus Jones;PG;21;6-2;184;Duke;1,471,382
Minnesota Timberwolves;24;Justin Patton;C;20;7-0;236;Creighton;2,247,480
Minnesota Timberwolves;25;Derrick Rose;PG;29;6-3;190;Memphis;290,951
Minnesota Timberwolves;0;Jeff Teague;PG;29;6-2;189;Wake Forest;19,000,000
Minnesota Timberwolves;32;Karl-Anthony Towns;C;22;7-0;248;Kentucky;6,216,840
Minnesota Timberwolves;22;Andrew Wiggins;SF;23;6-8;202;Kansas;7,574,323
Oklahoma City Thunder;8;Alex Abrines;SG;24;6-6;190;;5,725,000
Oklahoma City Thunder;12;Steven Adams;C;24;7-0;255;Pittsburgh;22,471,910
Oklahoma City Thunder;7;Carmelo Anthony;PF;33;6-8;240;Syracuse;26,243,760
Oklahoma City Thunder;3;Corey Brewer;SF;32;6-9;186;Florida;7,579,366
Oklahoma City Thunder;4;Nick Collison;PF;37;6-10;255;Kansas;1,471,382
Oklahoma City Thunder;35;PJ Dozier;PG;21;6-6;205;South Carolina;
Oklahoma City Thunder;2;Raymond Felton;PG;33;6-1;205;North Carolina;1,471,382
Oklahoma City Thunder;23;Terrance Ferguson;SG;19;6-7;184;;1,785,000
Oklahoma City Thunder;13;Paul George;SF;27;6-9;220;Fresno State;19,508,958
Oklahoma City Thunder;9;Jerami Grant;SF;24;6-9;220;Syracuse;1,524,305
Oklahoma City Thunder;25;Daniel Hamilton;SG;22;6-7;195;Connecticut;
Oklahoma City Thunder;34;Josh Huestis;SG;26;6-7;230;Stanford;1,471,382
Oklahoma City Thunder;44;Dakari Johnson;C;22;7-0;255;Kentucky;815,615
Oklahoma City Thunder;54;Patrick Patterson;PF;29;6-9;230;Kentucky;5,192,000
Oklahoma City Thunder;21;Andre Roberson;SG;26;6-7;210;Colorado;9,259,260
Oklahoma City Thunder;15;Kyle Singler;SF;29;6-8;228;Duke;4,666,500
Oklahoma City Thunder;0;Russell Westbrook;PG;29;6-3;200;UCLA;28,530,608
Portland Trail Blazers;8;Al-Farouq Aminu;PF;27;6-9;220;Wake Forest;7,319,035
Portland Trail Blazers;2;Wade Baldwin IV;PG;22;6-4;202;Vanderbilt;229,892
Portland Trail Blazers;33;Zach Collins;C;20;7-0;230;Gonzaga;3,057,240
Portland Trail Blazers;5;Pat Connaughton;SG;25;6-5;210;Notre Dame;1,471,382
Portland Trail Blazers;17;Ed Davis;PF;28;6-10;245;North Carolina;6,352,531
Portland Trail Blazers;4;Maurice Harkless;SF;24;6-9;220;St. John's;10,162,922
Portland Trail Blazers;10;Jake Layman;SF;24;6-9;210;Maryland;1,312,611
Portland Trail Blazers;11;Meyers Leonard;C;26;7-1;255;Illinois;9,904,495
Portland Trail Blazers;0;Damian Lillard;PG;27;6-3;195;Weber State;26,153,057
Portland Trail Blazers;3;CJ McCollum;SG;26;6-3;190;Lehigh;23,962,573
Portland Trail Blazers;6;Shabazz Napier;PG;26;6-1;175;Connecticut;2,361,360
Portland Trail Blazers;27;Jusuf Nurkic;C;23;7-0;280;;2,947,305
Portland Trail Blazers;19;Georgios Papagiannis;C;20;7-1;240;;185,397
Portland Trail Blazers;50;Caleb Swanigan;PF;20;6-8;250;Purdue;1,465,920
Portland Trail Blazers;1;Evan Turner;SF;29;6-7;220;Ohio State;17,131,148
Portland Trail Blazers;23;CJ Wilcox;SG;27;6-5;195;Washington;
Utah Jazz;13;Tony Bradley;C;20;6-10;248;North Carolina;1,414,920
Utah Jazz;10;Alec Burks;SG;26;6-6;214;Colorado;10,845,506
Utah Jazz;99;Jae Crowder;PF;27;6-6;235;Marquette;6,796,117
Utah Jazz;11;Dante Exum;PG;22;6-6;190;;4,992,385
Utah Jazz;15;Derrick Favors;PF;26;6-10;265;Georgia Tech;12,000,000
Utah Jazz;27;Rudy Gobert;C;25;7-1;245;;21,924,719
Utah Jazz;2;Joe Ingles;SF;30;6-8;226;;14,136,364
Utah Jazz;8;Jonas Jerebko;PF;31;6-10;231;;4,000,000
Utah Jazz;21;Erik McCree;SF;24;6-8;225;Louisiana Tech;815,615
Utah Jazz;45;Donovan Mitchell;SG;21;6-3;215;Louisville;2,621,280
Utah Jazz;25;Raul Neto;PG;25;6-1;179;;1,471,382
Utah Jazz;31;Georges Niang;F;24;6-6;231;Iowa State;
Utah Jazz;23;Royce O'Neale;SF;24;6-6;226;Baylor;815,615
Utah Jazz;3;Ricky Rubio;PG;27;6-4;190;;14,275,000
Utah Jazz;22;Thabo Sefolosha;SF;33;6-7;220;;5,500,000
Utah Jazz;5;David Stockton;PG;26;5-11;165;Gonzaga;44,495
Utah Jazz;33;Ekpe Udoh;C;30;6-10;245;Baylor;3,200,000
